path,pred,conf,margin,dst,archived_from_unlabeled_to
..\Data\Rest Ungelabelt\312a28cb562a4532ba49524a857c71ac.png,Bewegungsdaten,0.9825166463851929,0.9650332536548376,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\312a28cb562a4532ba49524a857c71ac.png,..\Work\moved_from_rest_ungelabelt\312a28cb562a4532ba49524a857c71ac.png
..\Data\Rest Ungelabelt\d5a1ad3fbbc84da784307a89ca158c65.png,Bewegungsdaten,0.9713417291641235,0.9426833782345057,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\d5a1ad3fbbc84da784307a89ca158c65.png,..\Work\moved_from_rest_ungelabelt\d5a1ad3fbbc84da784307a89ca158c65.png
..\Data\Rest Ungelabelt\5f464aac8ecb4670a5c6b73c917b3109.jpeg,Bewegungsdaten,0.9622753262519836,0.9245506823062897,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\5f464aac8ecb4670a5c6b73c917b3109.jpeg,..\Work\moved_from_rest_ungelabelt\5f464aac8ecb4670a5c6b73c917b3109.jpeg
..\Data\Rest Ungelabelt\2f035d27690b438f83ee18b1a3131bda.jpeg,Bewegungsdaten,0.9613712430000305,0.9227424673736095,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\2f035d27690b438f83ee18b1a3131bda.jpeg,..\Work\moved_from_rest_ungelabelt\2f035d27690b438f83ee18b1a3131bda.jpeg
..\Data\Rest Ungelabelt\132584fdeb884cbaa5702042b9e995fc.jpeg,Bewegungsdaten,0.9464847445487976,0.8929694555699825,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\132584fdeb884cbaa5702042b9e995fc.jpeg,..\Work\moved_from_rest_ungelabelt\132584fdeb884cbaa5702042b9e995fc.jpeg
..\Data\Rest Ungelabelt\eda4ecb8036146fd8dc3db4841f2845c.png,Bewegungsdaten,0.946341335773468,0.8926826938986778,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\eda4ecb8036146fd8dc3db4841f2845c.png,..\Work\moved_from_rest_ungelabelt\eda4ecb8036146fd8dc3db4841f2845c.png
..\Data\Rest Ungelabelt\7546a894faa6432bbda50ac7dc5ae356.png,Bewegungsdaten,0.9460886716842651,0.8921773545444012,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\7546a894faa6432bbda50ac7dc5ae356.png,..\Work\moved_from_rest_ungelabelt\7546a894faa6432bbda50ac7dc5ae356.png
..\Data\Rest Ungelabelt\a465d21eafbe4ce09b14125f15ef1ae3.png,Bewegungsdaten,0.939666211605072,0.8793324083089828,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\a465d21eafbe4ce09b14125f15ef1ae3.png,..\Work\moved_from_rest_ungelabelt\a465d21eafbe4ce09b14125f15ef1ae3.png
..\Data\Rest Ungelabelt\0c6c697f1f264cd68d5ecb36d58d1669.png,Bewegungsdaten,0.9379799365997314,0.8759598582983017,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\0c6c697f1f264cd68d5ecb36d58d1669.png,..\Work\moved_from_rest_ungelabelt\0c6c697f1f264cd68d5ecb36d58d1669.png
..\Data\Rest Ungelabelt\445c6cae89b246e7912a9e1df92d7058.png,Bewegungsdaten,0.9371793270111084,0.8743586838245392,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\445c6cae89b246e7912a9e1df92d7058.png,..\Work\moved_from_rest_ungelabelt\445c6cae89b246e7912a9e1df92d7058.png
..\Data\Rest Ungelabelt\12c5d97f6b1a41d2976bdc1c8f8bfecc.png,Bewegungsdaten,0.9366470575332642,0.8732940703630447,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\12c5d97f6b1a41d2976bdc1c8f8bfecc.png,..\Work\moved_from_rest_ungelabelt\12c5d97f6b1a41d2976bdc1c8f8bfecc.png
..\Data\Rest Ungelabelt\5a6c396bcee740cb8c17f98799704f90.jpeg,Bewegungsdaten,0.9362773895263672,0.8725547716021538,..\Data\SAP mit Pseudo Labels\Bewegungsdaten\5a6c396bcee740cb8c17f98799704f90.jpeg,..\Work\moved_from_rest_ungelabelt\5a6c396bcee740cb8c17f98799704f90.jpeg
