epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.59716,2.53681,0.17526,0.53608,2.45283,7.644e-05,7.644e-05,7.644e-05
2,17.9269,2.31965,0.40206,0.76289,1.99336,0.000150901,0.000150901,0.000150901
3,25.9617,2.00509,0.51546,0.80412,1.5707,0.000217213,0.000217213,0.000217213
4,34.0211,1.60786,0.62887,0.83505,1.3425,0.000275375,0.000275375,0.000275375
5,41.8385,1.43544,0.70103,0.87629,1.17994,0.000325387,0.000325387,0.000325387
6,49.7258,1.23008,0.7732,0.91753,0.90354,0.00036725,0.00036725,0.00036725
7,57.8074,1.00954,0.79381,0.92784,0.76959,0.000400963,0.000400963,0.000400963
8,66.2651,0.78564,0.81443,0.93814,0.64599,0.000384258,0.000384258,0.000384258
9,74.376,0.69687,0.83505,0.96907,0.56791,0.000355152,0.000355152,0.000355152
10,82.343,0.63237,0.85567,0.95876,0.50034,0.000326046,0.000326046,0.000326046
