epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.99311,2.61454,0.11628,0.48837,2.51758,6.468e-05,6.468e-05,6.468e-05
2,4.89048,2.42631,0.34884,0.73256,2.21582,0.000133901,0.000133901,0.000133901
3,7.04949,2.16038,0.44186,0.83721,1.79248,0.000201725,0.000201725,0.000201725
4,9.14956,1.87784,0.67442,0.87209,1.34473,0.000268152,0.000268152,0.000268152
5,11.2568,1.55174,0.73256,0.88372,1.17188,0.000333182,0.000333182,0.000333182
6,13.4169,1.28482,0.75581,0.90698,0.7439,0.000396815,0.000396815,0.000396815
7,15.5159,0.99097,0.83721,0.94186,0.80981,0.00045905,0.00045905,0.00045905
8,17.727,0.83556,0.86047,0.95349,0.78333,0.000519889,0.000519889,0.000519889
9,19.7725,0.60303,0.84884,0.97674,0.51025,0.00054143,0.00054143,0.00054143
10,21.9506,0.50702,0.90698,0.96512,0.43225,0.000535609,0.000535609,0.000535609
11,24.0717,0.47261,0.9186,0.96512,0.57507,0.000529788,0.000529788,0.000529788
12,26.2028,0.32877,0.90698,0.97674,0.41565,0.000523967,0.000523967,0.000523967
13,28.317,0.34997,0.93023,0.97674,0.34692,0.000518146,0.000518146,0.000518146
14,30.401,0.31678,0.94186,0.97674,0.28345,0.000512324,0.000512324,0.000512324
15,32.5127,0.26475,0.93023,0.97674,0.36072,0.000506503,0.000506503,0.000506503
16,34.6439,0.26719,0.93023,0.97674,0.28656,0.000500682,0.000500682,0.000500682
17,36.7927,0.23934,0.93023,0.97674,0.46234,0.000494861,0.000494861,0.000494861
18,38.8898,0.18717,0.90698,0.98837,0.23423,0.00048904,0.00048904,0.00048904
19,41.024,0.19074,0.90698,0.98837,0.26682,0.000483218,0.000483218,0.000483218
20,43.1767,0.18999,0.9186,0.98837,0.32446,0.000477397,0.000477397,0.000477397
21,45.3562,0.16484,0.90698,0.97674,0.3269,0.000471576,0.000471576,0.000471576
22,47.5157,0.17311,0.90698,0.97674,0.29568,0.000465755,0.000465755,0.000465755
23,49.5985,0.1705,0.9186,0.96512,0.32739,0.000459934,0.000459934,0.000459934
24,51.7565,0.13147,0.90698,0.96512,0.35645,0.000454112,0.000454112,0.000454112
25,53.9011,0.18517,0.93023,0.97674,0.46442,0.000448291,0.000448291,0.000448291
26,56.0963,0.11514,0.90698,0.97674,0.29028,0.00044247,0.00044247,0.00044247
27,58.2441,0.12498,0.94186,0.97674,0.27222,0.000436649,0.000436649,0.000436649
28,60.3944,0.15993,0.94186,0.97674,0.2428,0.000430828,0.000430828,0.000430828
29,62.4613,0.09359,0.95349,0.98837,0.21249,0.000425006,0.000425006,0.000425006
30,64.5854,0.12415,0.93023,0.98837,0.25201,0.000419185,0.000419185,0.000419185
31,66.7725,0.12498,0.9186,0.98837,0.44604,0.000413364,0.000413364,0.000413364
32,68.8744,0.13575,0.90698,0.98837,0.23387,0.000407543,0.000407543,0.000407543
33,71.0506,0.12597,0.90698,0.98837,0.36572,0.000401722,0.000401722,0.000401722
34,73.2336,0.07814,0.94186,0.98837,0.27631,0.0003959,0.0003959,0.0003959
35,75.3058,0.10728,0.9186,0.98837,0.34839,0.000390079,0.000390079,0.000390079
36,77.4997,0.12291,0.9186,0.97674,0.36194,0.000384258,0.000384258,0.000384258
37,79.6963,0.13327,0.9186,0.97674,0.27072,0.000378437,0.000378437,0.000378437
38,81.8629,0.12805,0.9186,0.98837,0.29767,0.000372616,0.000372616,0.000372616
39,83.8837,0.1031,0.93023,0.98837,0.23459,0.000366794,0.000366794,0.000366794
40,85.9818,0.0782,0.9186,0.97674,0.52594,0.000360973,0.000360973,0.000360973
41,88.1315,0.1058,0.94186,0.97674,0.26767,0.000355152,0.000355152,0.000355152
42,90.2277,0.09607,0.94186,0.97674,0.24599,0.000349331,0.000349331,0.000349331
43,92.2772,0.08607,0.94186,0.97674,0.54593,0.00034351,0.00034351,0.00034351
44,94.4375,0.07801,0.94186,0.98837,0.24478,0.000337688,0.000337688,0.000337688
45,96.5563,0.09997,0.94186,0.97674,0.24243,0.000331867,0.000331867,0.000331867
46,98.6457,0.08748,0.9186,0.98837,0.56317,0.000326046,0.000326046,0.000326046
47,100.735,0.11846,0.93023,0.98837,0.28912,0.000320225,0.000320225,0.000320225
48,102.809,0.12828,0.93023,0.98837,0.54016,0.000314404,0.000314404,0.000314404
49,105.023,0.10341,0.95349,0.98837,0.46436,0.000308582,0.000308582,0.000308582
50,107.133,0.05881,0.95349,0.98837,0.21588,0.000302761,0.000302761,0.000302761
51,109.227,0.07377,0.94186,0.98837,0.33728,0.00029694,0.00029694,0.00029694
52,111.371,0.05212,0.94186,0.98837,0.2934,0.000291119,0.000291119,0.000291119
53,113.467,0.08287,0.94186,0.98837,0.26004,0.000285298,0.000285298,0.000285298
54,115.612,0.0756,0.94186,0.98837,0.56248,0.000279476,0.000279476,0.000279476
55,117.69,0.08526,0.95349,0.98837,0.22234,0.000273655,0.000273655,0.000273655
56,119.759,0.07698,0.96512,0.98837,0.24875,0.000267834,0.000267834,0.000267834
57,121.84,0.09472,0.95349,0.98837,0.23647,0.000262013,0.000262013,0.000262013
58,123.942,0.06983,0.95349,0.98837,0.48059,0.000256192,0.000256192,0.000256192
59,126.01,0.09236,0.95349,0.98837,0.54156,0.00025037,0.00025037,0.00025037
60,128.241,0.07962,0.94186,0.98837,0.48553,0.000244549,0.000244549,0.000244549
61,130.316,0.06482,0.93023,0.98837,0.24588,0.000238728,0.000238728,0.000238728
62,132.465,0.05873,0.93023,0.98837,0.25592,0.000232907,0.000232907,0.000232907
63,134.596,0.04082,0.95349,0.98837,0.24133,0.000227086,0.000227086,0.000227086
64,136.718,0.08675,0.95349,0.98837,0.28668,0.000221264,0.000221264,0.000221264
65,138.915,0.06501,0.94186,0.98837,0.25096,0.000215443,0.000215443,0.000215443
66,141.002,0.04686,0.93023,0.98837,0.25803,0.000209622,0.000209622,0.000209622
67,143.154,0.04106,0.93023,0.98837,0.2385,0.000203801,0.000203801,0.000203801
68,145.342,0.06371,0.94186,0.98837,0.56451,0.00019798,0.00019798,0.00019798
69,147.405,0.04861,0.94186,0.98837,0.28482,0.000192158,0.000192158,0.000192158
70,149.531,0.04118,0.94186,0.98837,0.27367,0.000186337,0.000186337,0.000186337
71,151.713,0.0584,0.94186,0.98837,0.52307,0.000180516,0.000180516,0.000180516
72,153.832,0.04377,0.94186,0.98837,0.3446,0.000174695,0.000174695,0.000174695
73,155.911,0.04919,0.94186,0.98837,0.26051,0.000168874,0.000168874,0.000168874
74,157.998,0.0734,0.93023,0.98837,0.33643,0.000163052,0.000163052,0.000163052
